feature,SV
0,0.007416608852674303
1,0.002972164408229858
2,-0.0014722800362145989
3,0.0029721644082298503
4,0.007416608852674303
5,0.007416608852674303
6,-0.0014722800362145913
7,0.0029721644082298473
8,0.007416608852674305
9,0.0029721644082298473
10,0.007416608852674305
11,0.007416608852674305
12,9.201445266892532e-06
13,0.006846808282873733
14,0.0004976019336673848
15,0.0004976019336673848
16,0.0032753797114451638
17,0.0006610006264778385
18,0.003130136428946971
19,0.00546931771549668
20,0.00546931771549668
21,0.00546931771549668
22,0.00546931771549668
23,0.001604583415979774
24,0.0053082871196834785
25,0.0017527315641279215
26,0.0034621332735296365
27,0.001816042738550206
28,0.001816042738550206
29,0.001816042738550206
30,0.004779005701513168
31,0.004779005701513168
32,0.002001227923735393
33,0.004694830617338085
34,0.0020804515323707647
35,0.003350292802212034
36,0.003350292802212034
37,0.003350292802212034
38,0.0021807021589371803
39,0.0021807021589371803
40,0.003291813270048291
41,0.00220780242993989
42,0.004324204546342005
43,0.0022570210838097067
44,0.0022570210838097067
45,0.0022570210838097067
46,0.003223204658688935
47,0.002277578181147564
48,0.002277578181147564
49,0.003184607659605613
50,0.002295718770716724
51,0.002295718770716724
52,0.00315041962541758
53,0.00315041962541758
54,0.00315041962541758
55,0.003958500433498387
56,0.003958500433498387
57,0.00239904624246525
58,0.0031653297673694607
59,0.0031653297673694607
60,0.0031653297673694607
61,0.00389392721727839
62,0.002460235461005987
63,0.003165702833140026
64,0.0024712583886955814
65,0.0024712583886955814
66,0.0024712583886955814
67,0.003797958222858101
68,0.0031443634516162733
69,0.0031443634516162733
70,0.003779284086536906
71,0.003779284086536906
72,0.0031620001359196244
73,0.003770828142007905
74,0.003170227541407304
75,0.0025776349488147118
76,0.0025776349488147118
77,0.0031548355260152907
78,0.0031548355260152907
79,0.0025922476216552323
80,0.0037033587327663436
81,0.0037033587327663436
82,0.0031613533127121426
83,0.0036968285469825583
84,0.0026386274887815
85,0.0031615033057749635
86,0.0031615033057749635
87,0.0036723589890444402
88,0.0036723589890444402
89,0.0036723589890444402
90,0.003178531828550612
91,0.0036669323169511003
92,0.0036669323169511003
93,0.0031890350648602983
94,0.0027162218260896147
95,0.0027162218260896147
96,0.0027162218260896147
97,0.003632602123913211
98,0.003179087384684189
99,0.003179087384684189
100,0.0027346429402397418
101,0.0027346429402397418
102,0.0036061026352288473
103,0.0031746031746031737
104,0.0031746031746031737
