feature,MC_SV
0,0.007330439367950404
1,0.026660350883308016
2,0.004155563863402284
3,0.005789458404973621
4,0.005270174485052166
5,0.015557568594563555
6,0.005627041858217092
7,0.008540882043725684
8,0.003636552898578987
9,0.006767200305929822
10,0.009631289864004652
11,0.012749500192571086
12,0.003508555599982964
13,0.006689771487270929
14,0.0042894135647683195
15,-0.009805971138755037
16,0.018647917013752194
17,0.005651757285830386
18,0.007599974635705499
19,0.004103836518730759
20,0.009464324284090865
21,0.006221741867608943
22,0.017032692538785674
23,0.0030783450152595663
24,0.01430666577269512
25,0.007131126767464989
26,0.006814974841103018
27,0.008408025171570402
28,0.00952435349615794
29,0.010376426178301472
30,0.01588847721237002
31,0.008501373898257305
32,-0.017441973601124428
33,0.013824888798462377
34,-0.0018189468517961372
35,0.011347403219812134
36,0.007739746753145019
37,0.012834338138434445
38,-0.0006792663150016695
39,0.006817911467829157
40,0.008943252586526158
41,0.004968213561088994
42,0.013693117725709879
43,0.003166866942959332
44,0.005046861903111775
45,0.005083420574660409
46,0.011642910658351897
47,0.004317289155963593
48,0.0036885158995157534
49,0.011196410327097549
50,0.0044492704179939415
51,0.004228806431865748
52,0.015127747497579815
53,0.02486327862938889
54,0.02095467910311755
55,0.011537705515904204
56,0.005013869073781544
57,0.007828624236133383
58,0.005396864627474351
59,0.02062855806921095
60,0.01813762933227187
61,0.020723201625514113
62,0.004340396451099776
63,0.016335357065259182
64,-0.0022019138723431107
65,0.012925808327716299
66,0.0012099154114220722
67,0.007633475193295268
68,0.005959466042842809
69,0.007856234126352085
70,0.015276697082359096
71,0.01017876568297686
72,0.01138706617192725
73,0.007665103012124058
74,0.013542259254947911
75,0.004378462045205534
76,0.007467822628709176
77,0.011114320998368506
78,0.006841166254466215
79,0.01213826610932765
80,0.0073447005780271
81,0.02133683801722563
82,0.007928015609951732
83,0.02252216561777982
84,0.005859553014491792
85,0.024405158029912204
86,0.004968427083736637
87,0.0132946514934563
88,0.011905489312545293
89,0.01028998069122604
90,0.00921332276473057
91,0.0061148305571147015
92,0.012937188169354236
93,0.007462804386508532
94,0.001970850246614238
95,0.004641138203574216
96,0.015931953866973998
97,0.01552719517477459
98,0.012479720807732358
99,0.020630765080021058
100,-0.0009266625378579955
101,0.003719366135394857
102,0.006610220569390889
103,0.017246826980775003
104,0.005681387437833886
