feature,MC_SV
0,0.005498945794027806
1,0.01207124818117173
2,0.0058921793503129895
3,0.004888410122562704
4,0.010065459938493396
5,0.013332844688660462
6,0.006152457974123568
7,0.006153599396623995
8,0.014249143421443561
9,0.00886832448658872
10,0.0101403181592728
11,0.008058411894384374
12,0.006332856967952311
13,0.014886603367900009
14,0.008919892356512221
15,0.003647518451637358
16,0.017391926095963357
17,0.003146255752797411
18,0.00984507715266771
19,0.014978796373688406
20,0.010878493634062854
21,0.01834597747147449
22,0.008096623244461774
23,0.006132405133036431
24,0.010984838275218324
25,0.009962326859834877
26,0.0076114146978886795
27,0.003721052390121498
28,0.010064341191133233
29,0.00796415646330723
30,0.013256199070955408
31,0.012123519799462013
32,-0.0031473603651205303
33,0.009761443378060817
34,0.005193595492030339
35,0.011624649282897123
36,0.005048821376111128
37,0.01348941094137209
38,0.0068369157997530995
39,0.006633961553100265
40,0.005644903657109002
41,0.002210547617462038
42,0.007319301181507803
43,0.012346179389815448
44,0.006355775408118335
45,0.008949762994912033
46,0.0084801675877665
47,0.006950257029326957
48,0.0016972431690487465
49,0.007550484238244896
50,0.006210475929726696
51,0.0067540152860645995
52,0.02295488623534052
53,0.014363706817650526
54,0.01470664749862794
55,0.015669728824377345
56,0.006142333964886364
57,0.004450892563489946
58,0.0038581827267409677
59,0.01917502271713367
60,0.028846353222087454
61,0.007710580100069237
62,0.007690047781182258
63,0.008240782629032481
64,0.008045539867804218
65,0.015077779630140932
66,0.0014352602433462458
67,0.017347419263548942
68,0.012032671894447036
69,0.010942785159663486
70,0.007693741379048496
71,0.0020550370415369874
72,0.010189077002119087
73,0.005581039987193278
74,0.01323218329307998
75,0.006794827942521945
76,0.005832059263302274
77,0.004507274763602309
78,0.0044914859849302475
79,0.007903564019389901
80,0.00758533887055158
81,0.015948010687354224
82,0.004355263343533105
83,0.0090098787252985
84,0.010223264278218264
85,0.01015883189655025
86,0.008536814026190494
87,0.01125044688241638
88,0.009646181151660528
89,0.009897920750662332
90,0.011702984097269697
91,0.008743124691530013
92,0.012318530708447241
93,0.007233013890110044
94,0.009699231189193747
95,0.0046172527948806575
96,0.006839472767857147
97,0.00884132240984545
98,0.006139387779474427
99,0.011393823535483964
100,0.0051436486036462335
101,0.009799909678424853
102,0.018929585989797524
103,0.006312366895529185
104,0.00468686899028663
