feature,MC_SV
0,0.013683740036941878
1,0.023676568645661897
2,0.005049812165156854
3,0.00649302604906067
4,0.022122315376663433
5,0.008240894309275016
6,0.008618488348509618
7,0.010995610930890371
8,0.011362655851895907
9,0.008699926240514928
10,0.014634472394866933
11,0.010016492705965304
12,0.002420086711755726
13,0.009893021470299763
14,0.006318538813791394
15,-0.02009571082548887
16,0.01037697257982881
17,0.005880878901243865
18,0.00823331629646093
19,0.01335217764870067
20,0.006686166095060968
21,0.0063800486698356775
22,0.014675771109769701
23,0.009423350898279743
24,0.014726497236607922
25,0.0062328181945571085
26,0.007132472428863441
27,0.007797217421425782
28,0.0018021277082011932
29,0.0031090399742343885
30,0.008536785815764975
31,0.013684628500279862
32,-0.019305088438476423
33,0.010614795642845112
34,0.000256473072458624
35,0.00984039742339124
36,0.0046685980864986315
37,0.021998719367937864
38,0.005757500767618903
39,0.005751903625067331
40,0.011850271644690654
41,0.0032410280243621915
42,0.011306406063633544
43,0.00821956957053503
44,0.003295306023544507
45,0.008587606390047603
46,0.004136063788834473
47,0.0007437182373487527
48,0.006763725893954872
49,0.01129974819233922
50,0.007244514854971958
51,0.004769526185537265
52,0.02027496112314694
53,0.022322754592750016
54,0.012083774092602926
55,0.012442343009264816
56,0.012169402064833162
57,0.007390866502927442
58,0.010894226255409499
59,0.024406409926979733
60,0.01962783566318314
61,0.009268658634539533
62,0.009683019423023563
63,0.009317686755456932
64,-0.001613073717442051
65,0.009347213009344973
66,0.007046567665440988
67,0.009344506944476041
68,0.006146339578386328
69,0.009207441241905784
70,0.011486153133605058
71,0.014521654666090972
72,0.00526538916666962
73,0.007747080119901587
74,0.005243458583172712
75,0.0034641090355283736
76,0.014077462070576715
77,0.009062425770466644
78,0.011516431241160115
79,0.00744751939394753
80,0.007444820030984954
81,0.007862196111058392
82,0.012639427306315636
83,0.011426345460370232
84,0.01811845071813566
85,0.03184782659818091
86,0.011192006926834473
87,0.00845410022459962
88,0.011001722356444504
89,0.011919385970837852
90,0.0075388666475293045
91,0.011145931262267665
92,0.005786862844754869
93,0.0057123738692757215
94,0.006911628341890412
95,0.0053873407663405475
96,0.0009980686585587138
97,0.009392666995413924
98,0.010850376116318956
99,0.02706178629591214
100,-0.0037468607690559195
101,0.0014853810122333964
102,0.021159226697662056
103,0.005492042531097327
104,0.008079973512227931
