feature,MC_SV
0,0.0
1,0.025012187222240485
2,0.013548418282061244
3,0.003196705933841764
4,0.0
5,0.004762493305318667
6,-0.0011939954519258516
7,0.03386316932720937
8,0.0023812466526593333
9,0.012861262211901394
10,0.0023812466526593333
11,0.0023812466526593333
12,0.018458426831730327
13,0.0
14,0.009476021315585536
15,-0.012732041215393482
16,0.020385185989883845
17,0.009340871232218946
18,0.008986135968761634
19,0.0
20,0.0
21,0.0011906233263296667
22,0.0
23,0.009637921108573219
24,0.0034419626909993283
25,0.010995429551775621
26,0.006116109294981479
27,0.006102392462505013
28,-0.007253087971330861
29,0.013710648136490563
30,0.0023812466526593333
31,0.0
32,-0.0092768408652059
33,0.0
34,-0.006637622552600169
35,0.012338308794139389
36,0.013863519989043805
37,0.024763541672444215
38,0.021526192042212337
39,0.006360013463182921
40,0.017068593845641782
41,0.02274052543156115
42,0.0023812466526593333
43,0.016103086806705542
44,-0.0012682038814539858
45,0.011380256369912294
46,0.018425348142594347
47,0.01801259694951667
48,-0.013537960120094006
49,0.011242938615376986
50,0.010067353191454116
51,0.016855791268871764
52,0.03312710466543515
53,0.032435526357782275
54,0.028518061726700513
55,0.0071437399579779995
56,0.004762493305318667
57,0.010660999594985624
58,0.008329226579093988
59,0.03481865369768737
60,0.03276897115329128
61,0.0035718699789889998
62,-0.00585964749570178
63,0.02533926191481788
64,-0.0003456302774505294
65,0.0051959300558828215
66,-0.00906007433315572
67,0.0023812466526593333
68,0.015595736131816574
69,0.012855134341547048
70,0.004762493305318667
71,0.0023812466526593333
72,0.010613088947602335
73,0.0011906233263296667
74,0.02391369672364698
75,0.010340375816804685
76,0.014042145154836568
77,0.03025017928640573
78,0.013301811136739308
79,0.0008398394935847452
80,0.0011906233263296667
81,0.0035718699789889998
82,0.008711089590702341
83,0.0011906233263296667
84,-0.0027157855672708432
85,0.020577027478731975
86,0.02644503686180288
87,0.0011906233263296667
88,0.0035718699789889998
89,0.0
90,0.030792648701265878
91,0.0011906233263296667
92,0.0
93,0.008529033060407932
94,0.003365758961885501
95,0.007269720393517562
96,0.011367153924199139
97,0.0011906233263296667
98,0.00824566237384243
99,0.020325714589179127
100,-0.005241666066381431
101,0.01604460941343664
102,0.004762493305318667
103,0.011416564992749368
104,0.004371371056721863
